id,video_id,start_frame,end_frame,class,total_frames,fps
0,train0000,23,71,9,168,30.0
1,train0000,68,125,21,168,30.0
2,train0000,122,161,1,168,30.0
3,train0001,0,326,24,330,30.0
4,train0001,218,242,7,330,30.0
5,train0002,85,131,8,151,30.0
6,train0002,111,147,49,151,30.0
7,train0003,0,308,12,309,29.0
8,train0003,10,48,8,309,29.0
9,train0003,130,156,9,309,29.0
10,train0004,51,92,7,318,30.0
11,train0004,105,234,0,318,30.0
12,train0004,53,312,35,318,30.0
13,train0005,86,123,1,152,30.0
14,train0005,123,150,30,152,30.0
15,train0006,270,306,7,310,30.0
16,train0006,0,306,25,310,30.0
17,train0006,264,306,50,310,30.0
18,train0007,0,25,12,284,30.0
19,train0007,24,66,49,284,30.0
20,train0007,66,111,29,284,30.0
21,train0007,66,111,48,284,30.0
22,train0007,0,283,9,284,30.0
23,train0008,3,165,8,337,30.0
24,train0008,162,333,7,337,30.0
25,train0008,321,335,2,337,30.0
26,train0009,0,390,21,394,30.0
27,train0009,105,135,8,394,30.0
28,train0009,216,306,10,394,30.0
29,train0010,102,138,10,286,30.0
30,train0010,170,222,8,286,30.0
31,train0011,0,353,17,354,30.0
32,train0011,0,353,0,354,30.0
33,train0011,0,81,4,354,30.0
34,train0012,0,248,49,250,30.0
35,train0012,227,248,8,250,30.0
36,train0013,128,252,38,317,29.0
37,train0013,252,288,48,317,29.0
38,train0014,0,56,11,234,30.0
39,train0014,0,131,24,234,30.0
40,train0014,119,232,21,234,30.0
41,train0014,0,10,8,234,30.0
42,train0015,77,123,9,216,30.0
43,train0015,122,210,42,216,30.0
44,train0016,5,77,24,151,30.0
45,train0016,0,48,10,151,30.0
46,train0017,76,271,48,272,30.0
47,train0017,63,271,8,272,30.0
48,train0018,0,161,12,334,30.0
49,train0018,263,333,28,334,30.0
50,train0018,105,160,7,334,30.0
51,train0018,164,279,7,334,30.0
52,train0019,0,105,10,347,29.0
53,train0019,0,97,0,347,29.0
54,train0019,114,196,0,347,29.0
55,train0019,0,270,21,347,29.0
56,train0019,311,346,11,347,29.0
57,train0020,0,160,1,233,29.0
58,train0020,132,232,7,233,29.0
59,train0021,0,395,21,396,30.0
60,train0021,0,92,7,396,30.0
61,train0022,2,38,9,241,30.0
62,train0022,29,122,24,241,30.0
63,train0023,0,96,49,383,30.0
64,train0023,82,382,21,383,30.0
65,train0023,0,53,2,383,30.0
66,train0024,60,171,22,300,30.0
67,train0024,171,225,9,300,30.0
68,train0025,75,123,49,152,30.0
69,train0025,72,105,7,152,30.0
70,train0026,1,57,9,415,30.0
71,train0026,57,150,8,415,30.0
72,train0026,144,209,19,415,30.0
73,train0027,0,31,19,370,30.0
74,train0027,31,368,21,370,30.0
75,train0027,0,79,8,370,30.0
76,train0028,367,442,9,444,30.0
77,train0028,0,442,25,444,30.0
78,train0028,0,442,37,444,30.0
79,train0029,44,70,10,152,30.0
80,train0029,75,109,10,152,30.0
81,train0030,0,106,8,238,30.0
82,train0030,0,237,21,238,30.0
83,train0031,23,322,49,324,30.0
84,train0031,0,40,7,324,30.0
85,train0031,89,118,9,324,30.0
86,train0031,179,236,7,324,30.0
87,train0032,9,150,21,318,30.0
88,train0032,156,204,49,318,30.0
89,train0032,143,186,2,318,30.0
90,train0032,237,266,9,318,30.0
91,train0033,0,365,21,367,29.0
92,train0033,259,284,8,367,29.0
93,train0034,4,86,48,168,29.0
94,train0034,2,44,9,168,29.0
95,train0035,0,36,20,329,30.0
96,train0035,2,188,0,329,30.0
97,train0036,19,145,31,354,30.0
98,train0036,159,353,24,354,30.0
99,train0036,49,190,8,354,30.0
100,train0036,203,235,8,354,30.0
101,train0037,0,303,28,306,30.0
102,train0037,0,233,13,306,30.0
103,train0037,231,303,42,306,30.0
104,train0037,12,39,10,306,30.0
105,train0037,105,165,9,306,30.0
106,train0038,0,314,24,316,30.0
107,train0038,282,314,7,316,30.0
108,train0039,75,147,19,253,29.0
109,train0039,149,203,19,253,29.0
110,train0040,0,372,7,374,30.0
111,train0040,39,90,8,374,30.0
112,train0041,71,190,24,300,30.0
113,train0041,165,274,19,300,30.0
114,train0041,75,151,8,300,30.0
115,train0042,0,225,49,227,30.0
116,train0042,0,36,30,227,30.0
117,train0042,63,90,7,227,30.0
118,train0042,136,225,0,227,30.0
119,train0043,0,296,24,298,30.0
120,train0043,0,296,21,298,30.0
121,train0043,230,296,9,298,30.0
122,train0044,0,357,25,361,30.0
123,train0044,312,357,9,361,30.0
124,train0045,0,12,17,256,30.0
125,train0045,12,255,19,256,30.0
126,train0046,0,267,7,329,30.0
127,train0046,279,294,5,329,30.0
128,train0046,294,324,6,329,30.0
129,train0046,0,273,37,329,30.0
130,train0046,0,273,25,329,30.0
131,train0046,273,324,12,329,30.0
132,train0047,0,57,21,154,30.0
133,train0047,57,90,19,154,30.0
134,train0047,90,126,21,154,30.0
135,train0048,57,135,9,391,30.0
136,train0048,144,224,1,391,30.0
137,train0048,228,288,7,391,30.0
138,train0049,0,420,21,422,29.0
139,train0049,55,87,10,422,29.0
140,train0050,0,284,21,317,29.0
